,objective_name,data_name,dimension,idx_rep,solver_name,stop_val,time,objective_value_func,objective_inner_value,objective_outer_value,objective_d_inner,objective_d_value,objective_value,objective_min_var,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
0,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",0,3.1002311939999996,2.1579678802098483,28.629802159202672,25.989443279530267,6.494281211135373,23.831475399320418,0.03580172703003641,-2.147680883226576,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
1,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",50,11.398357190999988,2.0996483245068367,3.5410145049234956,2.0996963771166532,0.0004930800567231253,4.805260981655124e-05,0.0022354029340580996,-2.696676354469817,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
2,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",100,11.540014309999975,2.093224399000722,3.3825903198364498,2.093200987748167,0.00015075808437538067,-2.34112525547836e-05,0.0006636472220735788,-2.875974242824685,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
3,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",150,11.666566138999986,2.0910001400764857,3.300072099843636,2.090997802857119,9.071747786688173e-05,-2.3372193669324304e-06,0.00027268478746919335,-2.9821436674573603,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
4,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",200,11.793675369999978,2.0900118490882904,3.2491991909609292,2.08998835871051,8.970995418084509e-05,-2.3490377780266414e-05,0.00013212134904903812,-3.0530748590074697,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
5,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",250,11.919924957999967,2.0895099711666227,3.2148641656675654,2.089513225371638,8.131358360725117e-05,3.254205015235101e-06,7.064276798142413e-05,-3.1036793215761813,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
6,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",300,12.048099506999971,2.0892332053433837,3.1903622259922493,2.0892300061506477,6.447473716031333e-05,-3.1991927360586203e-06,4.02978531106358e-05,-3.1412819280318116,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
7,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",350,12.182769641999982,2.0890718853310264,3.172211276409635,2.0890652647125663,7.042882823250252e-05,-6.6206184601291795e-06,2.4050607827099588e-05,-3.1700006269308285,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
8,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",400,12.311204750999988,2.088974084236399,3.1584041746885028,2.088968983616221,3.364685133044656e-05,-5.100620178222215e-06,1.4833562714797332e-05,-3.1923669924433726,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
9,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",450,12.437546591999979,2.088913054203559,3.147695697944803,2.088912370801725,2.625123741938607e-05,-6.834018342338766e-07,9.377210670092216e-06,-3.2100375462135227,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
10,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",500,12.562324382999968,2.088874120874019,3.139266096158782,2.088869885790552,1.9059490694943332e-05,-4.235083467030165e-06,6.040485826252734e-06,-3.224153589359211,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
11,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",550,12.679947920999965,2.088848865056874,3.132555891950923,2.088846821157509,1.4872436101871206e-05,-2.0438993653115745e-06,3.948715174222517e-06,-3.2355237154159786,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
12,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",600,12.800618735999969,2.08883226379895,3.1271669491633913,2.0888315450427393,1.3805170681212823e-05,-7.187562105492873e-07,2.6114554329770356e-06,-3.2447425436012676,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
13,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",650,12.918891370999972,2.088821235115769,3.1228081294046657,2.088820276060692,1.6200808134840294e-05,-9.590550766880312e-07,1.7430448361497447e-06,-3.252257218806428,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
14,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",700,13.039506720999967,2.088813848048963,3.119263315751662,2.088811970266482,1.4151771813763155e-05,-1.8777824810634058e-06,1.172129398062231e-06,-3.2584073945098067,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
15,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",750,13.158328095999988,2.0888088661163713,3.1163671917584037,2.088809489171567,7.450759691825588e-06,6.230551958807951e-07,7.929628117317115e-07,-3.2634582942658534,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
16,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",800,13.277123174999982,2.0888054876325963,3.1139922647846943,2.0888053941034186,6.45638872790451e-06,-9.352917773597369e-08,5.390684094971614e-07,-3.267617964157629,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
17,Bi-level Hyperparameter Optimization[model=ridge],"Generated[n_samples=1000,n_features=10]","(10,)",0,"single-loop[step_size=0.01,outer_ratio=50,batch_size=1,vr=saga]",850,13.394773839999981,2.088803186582654,3.112039193025046,2.0888037401742494,4.180181938260902e-06,5.535915952314951e-07,3.6794469825072535e-07,-3.271050839582781,,Darwin,x86_64,21.1.0,Darwin Kernel Version 21.1.0: Wed Oct 13 17:33:23 PDT 2021; root:xnu-8019.41.5~1/RELEASE_X86_64,8,Intel(R) Core(TM) i7-1068NG7 CPU @ 2.30GHz,16,,"('1.19.5', 'blas=openblas, lapack=openblas')",1.7.1
